original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,street,name,county_code,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
4074,Ituporanga,Brazil,-27.4096219,-49.6014812,"Ituporanga - SC, 88400-000, Brazil",,,,,,SC,88400-000,Ituporanga,,Santa Catarina,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4075,Brondby,Denmark,55.644111,12.4217135,"Brøndby Municipality, Denmark",,,,,Brøndby Municipality,,,,,Capital Region of Denmark,Denmark,dk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4076,Wachtberg,Germany,50.6435631,7.0882889,"53343 Wachtberg, Germany",,,,,,,53343,Wachtberg,Rhein-Sieg-Kreis,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4077,Furth,Germany,48.5915163,12.0212216,"84095 Furth, Germany",,,,,,,84095,Furth,Landkreis Landshut,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4078,Sana’a City,Yemen,15.32877575,44.22510131016612,"As Sabain District, Sana'a City, Amanat Al Asimah, Yemen",As Sabain District,,Sana'a City,,,,,Sana'a City,,Amanat Al Asimah,Yemen,ye,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4079,Taicang,China,31.4590371,121.1264772,"Taicang, Jiangsu, China",,,,,,,,Taicang,,Jiangsu,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4080,Watertown,United States,42.3652518,-71.1843236,"Watertown, MA, United States of America",,,,,,MA,,Watertown,Middlesex County,Massachusetts,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4081,Jiangyin,China,31.9215518,120.2808847,"214400 Jiangsu, China",,,,,,,214400,Jiangyin City,,Jiangsu,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4082,Valencia,United States,40.674863,-79.988494,"Valencia (Valencia), PA, United States of America",,,,,,PA,,Valencia,Butler County,Pennsylvania,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4083,Dir (U),Pakistan,35.2080144,71.8779773,"Dir, KP, Pakistan",,,Dir,,,KP,,Dir,Upper Dir District,Khyber Pakhtunkhwa,Pakistan,pk,0.5,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4084,Gatersleben,Germany,51.8252597,11.2877711,"06466 Gatersleben (Gatersleben), Germany",,,Gatersleben,,,,06466,Gatersleben,Salzlandkreis,Saxony-Anhalt,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4085,Sabzevar,Iran,36.2134053,57.6808799,"بخش مرکزی شهرستان سبزوار, Sabzevar, Razavi Khorasan, Iran",بخش مرکزی شهرستان سبزوار,,,,,,,Sabzevar,Sabzevar County,Razavi Khorasan,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4086,Temple,United States,31.098207,-97.3427847,"Temple, TX, United States of America",,,,,,TX,,Temple,Bell County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4087,Civitavecchia,Italy,42.0937524,11.7922462,"00053 Civitavecchia, Italy",,,,,,LAZ,00053,Civitavecchia,Roma Capitale,Lazio,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4088,Anavyssos,Greece,37.7375619,23.9521915,"190 13 Ανάβυσσος (Anavissos Municipal Unit), Greece",,,Ανάβυσσος,,,,190 13,Anavissos Municipal Unit,Regional Unit of East Attica,Attica,Greece,gr,0.4536,0.4536,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4089,Toledo,United States,41.6529143,-83.5378173,"Toledo, OH, United States of America",,,,,,OH,,Toledo,Lucas County,Ohio,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4090,North Bethesda,United States,39.0461292,-77.1130097,"North Bethesda, MD, United States of America",,,North Bethesda,,,MD,,North Bethesda,Montgomery County,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4091,Princeton Junction,United States,40.3173301,-74.6198791,"Princeton Junction (West Windsor), NJ 08537, United States of America",,,Princeton Junction,,,NJ,08537,West Windsor,Mercer County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4092,Ottawa,United States,41.3516628,-88.845436,"Ottawa, IL 61350, United States of America",,,,,,IL,61350,Ottawa,LaSalle County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4093,Gwacheon,South Korea,37.4289037,126.9881655,"Gwacheon-si, South Korea",,,,,,,,Gwacheon-si,Gyeonggi,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4094,Antalya,Turkey,36.8864752,30.7029585,"07386 Muratpaşa (Antalya), Turkey",,,Antalya,,,,07386,Antalya,Antalya,Mediterranean Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4095,Suitland,United States,38.848724,-76.9238625,"Suitland, MD 20233, United States of America",,,Suitland,,,MD,20233,Suitland,Prince George's County,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4096,Schlieren,Switzerland,47.3965147,8.4444861,"8952 Schlieren, Switzerland",,,,,,,8952,Schlieren,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4097,Centre Ville,Tunisia,36.4522902,10.7318254,"Centre-Ville, نيابوليس, Tunisia",Centre-Ville,,Centre-Ville,,,,8000,,نيابوليس,Nabeul,Tunisia,tn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4098,Balasore,India,21.5017098,86.9216712,"Balasore - 756001, OR, India",,,Balasore,,,OR,756001,Balasore,Baleshwar (M),Odisha,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4099,Kamakura,Japan,35.329564,139.54442,"Kamakura, Japan",,,,,,,,Kamakura,Kanagawa Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4100,Akiruno,Japan,35.731042,139.217028,"Akiruno, Japan",,,,,,,,Akiruno,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4101,Daqing,China,46.5969028,125.1014811,"Sartu District, Daqing, Heilongjiang, China",Sartu District,,Daqing,,,,,Daqing,,Heilongjiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4102,Swift Current,Canada,50.2849138,-107.7984496,"Swift Current, SK, Canada",,,,,,SK,,Swift Current,Swift Current,Saskatchewan,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4103,Morden,Canada,49.1927055,-98.1014567,"Morden, MB, Canada",,,,,,MB,,Morden,Division No. 3,Manitoba,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4104,Castelar,Argentina,-34.6555638,-58.6425128,"Castelar, B, Argentina",,,,,,B,,Castelar,Partido de Morón,Buenos Aires,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4105,Shirley,United Kingdom,52.4112249,-1.8277304,"Shirley, B90 3FX, United Kingdom",,,Shirley,,,ENG,B90 3FX,Shirley,West Midlands Combined Authority,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4106,Ibri,Oman,23.2178676,56.4921938,"Ibri, Ad Dhahirah Governorate, Oman",,,Ibri,,,,,Ibri,,Ad Dhahirah Governorate,Oman,om,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4107,Thatcher,United States,32.8492323,-109.759247,"Thatcher, AZ 85552, United States of America",,,,,,AZ,85552,Thatcher,Graham County,Arizona,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4108,Tabora,Tanzania,-5.0202431,32.8097724,"45102 Tabora, Tabora Region, Tanzania",,,Tabora,,,,45102,Tabora,Tabora Muncipal,Tabora Region,Tanzania,tz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4109,Changde,China,29.034552,111.6928724,"Changde, Hunan, China",,,,,,,,Changde,,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4110,Gimcheon-si,South Korea,36.1398035,128.1139534,"Gimcheon-si, 39547, South Korea",,,Gimcheon-si,,,,39547,Gimcheon-si,Gimcheon-si,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4111,Marina,United States,36.6900986,-121.80062933026213,"Marina, CA 93933, United States of America",,,,,,CA,93933,Marina,Monterey County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4112,Aksu,China,41.1686701,80.2581875,"Aksu City, Xinjiang, China",,,,,,,,Aksu City,,Xinjiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4113,Varennes,Canada,45.6834691,-73.4362737,"Varennes, QC, Canada",,,,,,QC,,Varennes,Marguerite-D'Youville,Quebec,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4114,Vom,Nigeria,9.6666095,8.7333418,"Vom, Jos South, Nigeria",,,Vom,,,,,,Jos South,Plateau State,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4115,Starnberg,Germany,48.0001038,11.3508972,"82319 Starnberg, Germany",,,,,,,82319,Starnberg,Landkreis Starnberg,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4116,Prairie View,United States,30.0857916,-95.9907058,"Prairie View, TX 77446, United States of America",,,,,,TX,77446,Prairie View,Waller County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4117,Badr,Egypt,30.142806,31.742824,"Badr, 11829, Egypt",,,Badr,,,,11829,Badr,,Cairo,Egypt,eg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4118,Jambi,Indonesia,-1.6296917,103.6077806,"Jambi, Indonesia",,,,,,,,Jambi,,Jambi,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4119,Pruhonice,Czech Republic,49.9952056,14.564819030506728,"Průhonice, Central Bohemia, Czechia",,,,,Průhonice,,252 43,Průhonice,,Central Bohemia,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4120,Farnham,United Kingdom,54.0408064,-1.4684412,"Farnham, ENG, United Kingdom",,,,NYK,,ENG,,Farnham,North Yorkshire,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4121,Birkenfeld,Germany,49.6488236,7.1647477,"Birkenfeld, Rhineland-Palatinate, Germany",,,,,,,,Birkenfeld,Landkreis Birkenfeld,Rhineland-Palatinate,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4122,Jiutepec,Mexico,18.8817229,-99.1767029,"62550 Jiutepec, MOR, Mexico",,,Jiutepec,,,MOR,62550,Jiutepec,Jiutepec,Morelos,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4123,"Xigatse, Tibet",China,29.25,88.88333,"Xigatse, Tibet, China",,,,,,,,Xigatse,Rikaze,Tibet,China,cn,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4124,Ramnagar,India,32.8061212,75.3113517,"Ramnagar - 182122, JK, India",,,Ramnagar,,,JK,182122,Ramnagar,Ramnagar,Jammu and Kashmir,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4125,Santa Rosa,United States,38.4404925,-122.7141049,"Santa Rosa, CA, United States of America",,,,,,CA,,Santa Rosa,Sonoma County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4126,Arlington Heights,United States,42.0811563,-87.9802164,"Arlington Heights, IL, United States of America",,,,,,IL,,Arlington Heights,Cook County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4127,Alfred,United States,42.2542334,-77.7906062,"Alfred, NY 14802, United States of America",,,,,,NY,14802,Alfred,Allegany County,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4128,Icheon,South Korea,37.2808823,127.4429132,"Icheon-si, South Korea",,,,,,,,Icheon-si,Gyeonggi,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4129,Erechim,Brazil,-27.6350709,-52.2738654,"Erechim, RS, Brazil",,,,,,RS,,Erechim,Região Geográfica Intermediária de Passo Fundo,Rio Grande do Sul,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4130,Gumushane,Turkey,41.12097,41.95019,"Gumushane, Artvin, Turkey",,,,,,,,Gumushane,Ardanuç,Artvin,Turkey,tr,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4131,Mineola,United States,40.7492678,-73.6406845,"Mineola, NY 11501, United States of America",,,,,,NY,11501,Mineola,Nassau County,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4132,Maanshan,China,34.6383799,79.0973186,"Maanshan, Hotan County, 848000 Xinjiang, China",,,Maanshan,,,,848000,,Hotan County,Xinjiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4133,Koszalin,Poland,54.19092,16.17707,"Koszalin, West Pomeranian Voivodeship, Poland",,,,,,,,Koszalin,,West Pomeranian Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4134,New Mansoura,Egypt,31.3326401,31.7186431,"Damietta, Ras Al Bar Road, New Damietta, 34611, Egypt",,"Damietta, Ras Al Bar Road","Damietta, Ras Al Bar Road",,,,34611,New Damietta,,Damietta,Egypt,eg,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4135,Maynard,United States,44.9069025,-95.4689074,"Maynard, MN, United States of America",,,,,,MN,,Maynard,Chippewa County,Minnesota,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4136,Baddi,India,30.9339975,76.8063071,"Baddi - 173205, HP, India",,,Baddi,,,HP,173205,Baddi,Baddi,Himachal Pradesh,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4137,Khoy,Iran,38.5504343,44.95354,"بخش مرکزی, Khoy, West Azerbaijan Province, Iran",بخش مرکزی,,,,,,58139-68197,Khoy,Khoy County,West Azerbaijan Province,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4138,Patzcuaro,Mexico,19.5136796,-101.6099596,"61600 Pátzcuaro, MIC, Mexico",,,Pátzcuaro,,,,61600,Pátzcuaro,Pátzcuaro,Michoacán,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4139,Lishui,China,28.4704064,119.9184297,"Lishui, Zhejiang, China",,,,,,,,Lishui,,Zhejiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4140,Neuruppin,Germany,52.9243859,12.8092919,"Neuruppin, BB, Germany",,,,,,BB,,Neuruppin,Ostprignitz-Ruppin,Brandenburg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4141,Geumsan,South Korea,36.209449,128.009811,"geumsan, Chupungnyeong-myeon, 29120, South Korea",,,geumsan,,,,29120,Chupungnyeong-myeon,Yeongdong-gun,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4142,Yesan,South Korea,36.6786101,126.8462899,"Yesan-eup, 32436, South Korea",,,Yesan-eup,,,,32436,Yesan-eup,Yesan-gun,,South Korea,kr,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4143,Hosaena,Ethiopia,7.5501651,37.8528153,"Hossana, Central Ethiopia Regional State, Ethiopia",,,Hossana,,,,,Hossana,Hadiya,Central Ethiopia Regional State,Ethiopia,et,0.6428571428571429,0.6428571428571429,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4144,Bhakkar,Pakistan,31.6303103,71.0676914,"Bhakkar District, Bhakkar, PB, Pakistan",Bhakkar District,,Bhakkar,,,PB,,Bhakkar,Mianwali Division,Punjab,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4145,Gyor,Hungary,47.687609,17.6346815,"Gyor, Western Transdanubia, Hungary",,,,,,,,Gyor,Győr-Moson-Sopron,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4146,Songyuan,China,24.8930214,97.8868497,"Songyuan, 665000 Yunnan, China",,,Songyuan,,,,665000,Songyuan,Yingjiang County,Yunnan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4147,Abadan,Iran,30.3636097,48.2591475,"بخش مرکزی شهرستان آبادان, Abadan, Khuzestan Province, Iran",بخش مرکزی شهرستان آبادان,,,,,,,Abadan,Abadan County,Khuzestan Province,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4148,"Asaluyeh, Bushehr",Iran,28.9684,50.8385,"Bushehr, Iran",,,,,,,,Bushehr,Bushehr,Bushehr,Iran,ir,0.5,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
